spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
i_eat_short_people_for_breakfast,Gary,6660,6680,16,14,9_19_21_durst_t_wang_ct_with_walls.dem,1,857,895,green
i_eat_short_people_for_breakfast,Michelle Obama,6663,6710,16,21,9_19_21_durst_t_wang_ct_with_walls.dem,1,861,950,red
i_eat_short_people_for_breakfast,Martin,7127,7220,16,20,9_19_21_durst_t_wang_ct_with_walls.dem,1,1732,1906,redBlue
i_eat_short_people_for_breakfast,Chris,7405,7444,16,18,9_19_21_durst_t_wang_ct_with_walls.dem,1,2254,2326,blue
i_eat_short_people_for_breakfast,Chris,7465,7583,16,18,9_19_21_durst_t_wang_ct_with_walls.dem,1,2365,2587,blue
i_eat_short_people_for_breakfast,Michelle Obama,7666,7672,16,21,9_19_21_durst_t_wang_ct_with_walls.dem,1,2742,2753,red
i_eat_short_people_for_breakfast,Michelle Obama,7680,7701,16,21,9_19_21_durst_t_wang_ct_with_walls.dem,1,2768,2809,red
i_eat_short_people_for_breakfast,Michelle Obama,7713,7737,16,21,9_19_21_durst_t_wang_ct_with_walls.dem,1,2831,2876,red
i_eat_short_people_for_breakfast,Martin,10027,10245,16,20,9_19_21_durst_t_wang_ct_with_walls.dem,1,7170,7577,redBlue
i_eat_short_people_for_breakfast,Michelle Obama,10290,10351,16,21,9_19_21_durst_t_wang_ct_with_walls.dem,1,7663,7777,red
i_eat_short_people_for_breakfast,Michelle Obama,10384,10388,16,21,9_19_21_durst_t_wang_ct_with_walls.dem,1,7838,7846,red
i_eat_short_people_for_breakfast,Gary,10527,10543,16,14,9_19_21_durst_t_wang_ct_with_walls.dem,1,8107,8137,green
i_eat_short_people_for_breakfast,Chris,11022,11280,16,18,9_19_21_durst_t_wang_ct_with_walls.dem,1,9035,9519,blue
i_eat_short_people_for_breakfast,Martin,11125,11159,16,20,9_19_21_durst_t_wang_ct_with_walls.dem,1,9228,9292,redBlue
i_eat_short_people_for_breakfast,Martin,11185,11310,16,20,9_19_21_durst_t_wang_ct_with_walls.dem,1,9340,9575,redBlue
i_eat_short_people_for_breakfast,Gary,11239,11324,16,14,9_19_21_durst_t_wang_ct_with_walls.dem,1,9442,9602,green
i_eat_short_people_for_breakfast,Gary,11480,11590,16,14,9_19_21_durst_t_wang_ct_with_walls.dem,1,9893,10101,green
i_eat_short_people_for_breakfast,Martin,11490,11574,16,20,9_19_21_durst_t_wang_ct_with_walls.dem,1,9912,10071,redBlue
i_eat_short_people_for_breakfast,Gary,11783,11837,16,14,9_19_21_durst_t_wang_ct_with_walls.dem,1,10461,10563,green
